Interview number (ongoing),Serial number (if provided),Reference (if provided in link),Questionnaire that has been used in the interview,Interview mode,Language,Time the interview has started (Europe/Berlin),"Random Generator: Complete clearances of the ballot, yet",Random Generator: Code drawn,starost: [01],pol,mesto_opstina,mesto_osn: [01],etnicitet,etnicitet: Drugo,country,država: Drugo,obrazovanje,obrazovanje_oca,obrazovanje_majke
1290,0,0,base,interview,srp,45215.96,0,2,26,2,Niš,Pirot,4,0,4,0,5,4,3
1294,0,0,base,interview,srp,45217.47,0,0,0,0,0,0,0,0,0,0,0,0,0
1296,0,0,base,interview,bos,45218.42,0,2,24,2,Berkovici,Berkovici,4,0,1,0,3,1,3
1300,0,0,base,interview,srp,45218.46,0,2,27,1,Nis,Nis,4,0,4,0,4,3,5
1302,0,0,base,interview,bos,45218.6,0,2,28,2,Pelagićevo,Pelagićevo,4,0,1,0,5,3,2
1305,0,0,base,interview,bos,45218.61,0,2,22,1,Bileća,Bileća,4,0,1,0,4,4,3
1306,0,0,base,interview,bos,45218.61,0,1,24,1,Novi Sad,Berkovići,4,0,4,0,4,3,3
1311,0,0,base,interview,bos,45218.64,0,1,26,2,Kotor Varoš,Kotor Varoš,4,0,1,0,5,3,3
1313,0,0,base,interview,bos,45218.65,0,1,27,2,Kotor Varos,Kotor Varos,4,0,1,0,3,3,3
1315,0,0,base,interview,bos,45218.65,0,2,27,2,Kotor Varos,Kotor Varos,4,0,1,0,3,3,3
1317,0,0,base,interview,bos,45218.81,0,1,59,1,Zenica,Zenica,5,0,1,0,3,3,3
1319,0,0,base,interview,qaa,45218.89,0,2,50,2,Tivat,Tivat,2,0,2,0,4,3,2
1322,0,0,base,interview,srp,45218.95,0,1,22,2,Niš,Niš,4,0,4,0,3,3,3
1324,0,0,base,interview,srp,45218.96,0,1,19,2,Negotin,Negotin,4,0,4,0,3,2,3
1326,0,0,base,interview,srp,45218.98,0,2,26,2,Leskovac,Leskovac,4,0,4,0,4,3,3
1327,0,0,base,interview,srp,45218.98,0,1,23,2,VRANJE,VRANJE,4,0,4,0,3,3,3
1330,0,0,base,interview,srp,45218.98,0,2,23,1,Niš,Leskovac,4,0,4,0,4,3,3
1332,0,0,base,interview,srp,45218.98,0,2,23,2,Vranje,Vranje,4,0,4,0,3,3,5
1334,0,0,base,interview,srp,45218.99,0,1,23,2,Vranje,Vranje,4,0,4,0,3,3,5
1336,0,0,base,interview,srp,45218.99,0,2,24,1,Veliko Vojlovce,Bošnjace,4,0,4,0,3,3,3
1338,0,0,base,interview,srp,45219,0,2,30,1,Leskovac,Leskovac,4,0,4,0,3,3,3
1341,0,0,base,interview,srp,45219.31,0,2,22,2,Niš,Niš,4,0,4,0,3,5,5
1343,0,0,base,interview,srp,45219.34,0,2,20,2,Vranjska Banja,Vranjska Banja,4,0,4,0,3,3,2
1345,0,0,base,interview,srp,45219.35,0,1,27,2,Kragujevac,Kragujevac,4,0,4,0,4,3,3
1348,0,0,base,interview,srp,45219.41,0,1,26,2,Vranje,Vranje,4,0,4,0,4,3,3
1351,0,0,base,interview,srp,45219.42,0,2,54,1,Leskovac,Leskovac,4,0,4,0,5,5,3
1354,0,0,base,interview,srp,45219.49,0,2,20,2,Vranje,Vranje,4,0,4,0,3,3,4
1356,0,0,base,interview,srp,45219.53,0,1,22,2,Leskovac,Leskovac,4,0,4,0,3,3,3
1358,0,0,base,interview,srp,45219.54,0,2,21,2,Niš,Niš,4,0,4,0,3,3,3
1361,0,0,base,interview,srp,45219.9,0,1,23,2,Leskovac,Leskovac,4,0,4,0,4,3,5
1364,0,0,base,interview,srp,45221.5,0,1,18,2,Nis,Nis,4,0,4,0,3,4,4
1365,0,0,base,interview,srp,45221.5,0,1,19,2,Bošnjace,Bošnjace,4,0,4,0,3,3,3
1372,0,0,base,interview,srp,45221.5,0,2,18,2,Вукашиновац,Рутевац,4,0,4,0,3,2,3
1374,0,0,base,interview,srp,45221.51,0,2,19,2,Niš,Niš,4,0,4,0,3,4,3
1379,0,0,base,interview,srp,45221.52,0,1,18,2,Vranje,Vranje,4,0,4,0,3,3,3
1383,0,0,base,interview,srp,45221.55,0,2,19,2,Сврљиг,Сврљиг,4,0,4,0,3,3,3
1385,0,0,base,interview,srp,45221.55,0,1,19,2,Velika Drenova,Velika Drenova,4,0,4,0,3,3,3
1386,0,0,base,interview,srp,45221.55,0,1,22,2,Žitorađa,Žitorađa,4,0,4,0,3,4,3
1389,0,0,base,interview,srp,45221.56,0,1,20,2,Aleksinac,Trnjane,4,0,4,0,3,3,3
1394,0,0,base,interview,srp,45221.56,0,1,20,2,Vitkovac,Donji Ljubes,4,0,4,0,3,3,3
1396,0,0,base,interview,srp,45221.66,0,2,18,2,Niš,Merošina,4,0,4,0,3,3,3
1400,0,0,base,interview,srp,45221.77,0,1,19,2,Niš,Niš,4,0,4,0,3,3,3
1403,0,0,base,interview,srp,45221.78,0,2,25,1,Нови Сад,Нови Сад,4,0,4,0,4,5,4
1406,0,0,base,interview,srp,45221.8,0,2,19,2,Niš,Vranje,4,0,4,0,3,2,2
1408,0,0,base,interview,srp,45222.76,0,2,20,2,Bosilegrad,Bosilegrad,4,0,4,0,3,3,2
1411,0,0,base,interview,srp,45223.75,0,1,20,2,Bosilegrad,Bosilegrad,4,0,4,0,3,3,2
1413,0,0,base,interview,hrv,45225.73,0,2,25,1,Rijeka,Rijeka,6,neopredjeljen,3,0,4,4,4
1420,0,0,base,interview,srp,45239.65,0,2,20,2,Niš,Niš,4,0,4,0,3,4,3
1421,0,0,base,interview,srp,45239.65,0,2,20,2,Niš,Kruševac,4,0,4,0,3,3,5
1422,0,0,base,interview,srp,45239.65,0,2,19,2,Niš,Niš,4,0,4,0,3,3,5
1423,0,0,base,interview,srp,45239.65,0,2,20,3,Niš,Surdulica,6,Bugarin,4,0,3,3,3
1428,0,0,base,interview,srp,45239.65,0,2,20,2,Niš,Niš,4,0,4,0,3,3,5
1434,0,0,base,interview,srp,45239.65,0,2,20,2,Niš,Niš,4,0,4,0,3,3,3
1436,0,0,base,interview,srp,45239.66,0,1,20,2,Niš,Prokuplje,4,0,4,0,3,3,4
